"labels","name","type","类型","起飞重量","尺寸","最大上升速度","最大下降速度","最大水平飞行速度","最大起飞海拔高度","最长飞行时间","最大续航里程","最大抗风速度","最大可倾斜角度","工作环境温度","卫星导航系统","影像传感器","工作频段","电池容量"
"entity;无人机","DJI Mavic 3","无人机","多旋翼","895 g","347.5 × 283.0 × 107.7 mm (折叠：221 × 96.3 × 90.3 mm)","6 m/s (普通档)","6 m/s (普通档)","21 m/s (普通档)","6000 m","46 分钟","30 km","12 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","4/3 CMOS, 有效像素 2000 万","2.4 GHz & 5.8 GHz","5000 mAh"
"entity;无人机","DJI Mavic 3 Classic","无人机","多旋翼","895 g","347.5 × 283.0 × 107.7 mm (折叠：221 × 96.3 × 90.3 mm)","6 m/s (普通档)","6 m/s (普通档)","21 m/s (普通档)","6000 m","46 分钟","30 km","12 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","4/3 CMOS, 有效像素 2000 万","2.4 GHz & 5.8 GHz","5000 mAh"
"entity;无人机","DJI Mavic 3 Cine","无人机","多旋翼","899 g","347.5 × 283.0 × 107.7 mm (折叠：221 × 96.3 × 90.3 mm)","6 m/s (普通档)","6 m/s (普通档)","21 m/s (普通档)","6000 m","46 分钟","30 km","12 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","4/3 CMOS, 有效像素 2000 万","2.4 GHz & 5.8 GHz","5000 mAh"
"entity;无人机","DJI Air 3","无人机","多旋翼","720 g","258.8 × 326 × 105.8 mm (折叠：207.5 × 100.5 × 91.1 mm)","6 m/s (普通档)","6 m/s (普通档)","21 m/s (普通档)","6000 m","46 分钟","32 km","12 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","双摄：1/1.3 英寸 CMOS (广角), 1/1.3 英寸 CMOS (3倍中长焦)","2.4 GHz & 5.8 GHz","4241 mAh"
"entity;无人机","DJI Air 2S","无人机","多旋翼","595 g","253 × 302 × 180 mm (折叠：183 × 253 × 77 mm)","6 m/s (普通档)","6 m/s (普通档)","19 m/s (普通档)","5000 m","31 分钟","18.5 km","10.7 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","1 英寸 CMOS, 有效像素 2000 万","2.4 GHz & 5.8 GHz","3500 mAh"
"entity;无人机","DJI Mini 4 Pro","无人机","多旋翼","<249 g","251 × 362 × 70 mm (折叠：148 × 94 × 64 mm)","5 m/s (普通档)","5 m/s (普通档)","16 m/s (普通档)","4000 m","34 分钟","18 km","10.7 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","1/1.3 英寸 CMOS, 有效像素 4800 万","2.4 GHz & 5.8 GHz","2590 mAh"
"entity;无人机","DJI Mini 3 Pro","无人机","多旋翼","<249 g","251 × 362 × 70 mm (折叠：145 × 90 × 62 mm)","5 m/s (普通档)","5 m/s (普通档)","16 m/s (普通档)","4000 m","34 分钟 (标配电池)","18 km","10.7 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","1/1.3 英寸 CMOS, 有效像素 4800 万","2.4 GHz & 5.8 GHz","2453 mAh"
"entity;无人机","DJI Mini 3","无人机","多旋翼","<249 g","251 × 362 × 70 mm (折叠：148 × 90 × 62 mm)","5 m/s (普通档)","5 m/s (普通档)","16 m/s (普通档)","4000 m","38 分钟 (标配电池)","18 km","10.7 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","1/1.3 英寸 CMOS, 有效像素 1200 万","2.4 GHz & 5.8 GHz","2453 mAh"
"entity;无人机","DJI Mini 2 SE","无人机","多旋翼","<249 g","159 × 203 × 56 mm (折叠：138 × 81 × 58 mm)","4 m/s (普通档)","3 m/s (普通档)","16 m/s (普通档)","4000 m","31 分钟","18 km","10.7 m/s","35°","-10° 至 40° C","GPS + Galileo + GLONASS","1/2.3 英寸 CMOS, 有效像素 1200 万","2.4 GHz","2250 mAh"
"entity;无人机","DJI Avata","无人机","多旋翼","约 410 g","180 × 180 × 80 mm","6 m/s (普通档)","6 m/s (普通档)","27 m/s (运动档)","5000 m","18 分钟","11.6 km","10.7 m/s","40°","-10° 至 40° C","GPS + Galileo + GLONASS","1/1.7 英寸 CMOS, 有效像素 4800 万","2.4 GHz & 5.8 GHz","2420 mAh"
"entity;无人机","DJI FPV","无人机","多旋翼","约 795 g","255 × 312 × 127 mm","6 m/s (普通档)","6 m/s (普通档)","27 m/s (运动档)","6000 m","20 分钟","16.8 km","12 m/s","40°","-10° 至 40° C","GPS + Galileo + GLONASS","1/2.3 英寸 CMOS, 有效像素 1200 万","2.4 GHz & 5.8 GHz","2000 mAh"
"entity;无人机","DJI Inspire 3","无人机","多旋翼","约 3995 g (不含相机及配件)","主臂展开：714.5 × 708.5 × 387.8 mm (折叠：431.5 × 451.5 × 430 mm)","6 m/s (普通档)","6 m/s (普通档)","30 m/s (运动档)","7000 m","28 分钟 (挂载 Zenmuse X9-8K Air)","N/A","15 m/s","35°","-20° 至 40° C","GPS + Galileo + GLONASS + BeiDou","全画幅 8K CMOS (Zenmuse X9-8K Air)","2.4 GHz & 5.8 GHz & 5.1-5.9 GHz","2998 g (TB51)"
"entity;无人机","DJI Matrice 350 RTK","无人机","多旋翼","约 9.6 kg (不含电池)","展开：810 × 670 × 430 mm (折叠：430 × 420 × 430 mm)","6 m/s","6 m/s","23 m/s","5000 m (起飞重量 ≤ 11.5 kg)","55 分钟 (挂载 H20T, 双 TB65)","N/A","15 m/s","30°","-20° 至 50° C","GPS + GLONASS + Galileo + BeiDou + QZSS","可搭载 Zenmuse P1, H20N, H20T 等","2.4 GHz & 5.8 GHz","7000 mAh (TB65)"
